conversation_id,title,create_time,update_time,month_bucket,message_count,primary_project,project_names_raw,project_names_canonical,is_real_project_work,confidence_0_1,classification_reason,summary
69c48e9b-3324-83e8-94cc-3704320808b9,NeuralShell Logo Concept,2026-03-25 18:40:44,2026-03-28 00:09:30,2026-03,215,neuralshell,neuralshell | neuralos | neuraltube | iseebs | neuralbook | obey_neurodomverse,neuralshell | neuralos | neuraltube | iseebs | neuralbook | obey_neurodomverse,True,0.95,"matched canonical project aliases: neuralshell, neuralos, neuraltube, iseebs, neuralbook","NeuralShell Logo Concept classified as neuralshell (project work). Reason: matched canonical project aliases: neuralshell, neuralos, neuraltube, iseebs, neuralbook."
69c216fb-7ec8-83e8-a33c-aca26334ebcd,NeuralShell UI Overhaul,2026-03-23 21:46:35,2026-03-25 18:35:29,2026-03,571,neuralshell,neuralshell | neuraltube | neuralbook | neuralos | obey_neurodomverse,neuralshell | neuraltube | neuralbook | neuralos | obey_neurodomverse,True,0.95,"matched canonical project aliases: neuralshell, neuraltube, neuralbook, neuralos, obey_neurodomverse","NeuralShell UI Overhaul classified as neuralshell (project work). Reason: matched canonical project aliases: neuralshell, neuraltube, neuralbook, neuralos, obey_neurodomverse."
69c1b195-ba80-83e8-8749-ce4bb3acd238,Gumroad Product Page,2026-03-23 14:33:12,2026-03-23 21:40:13,2026-03,81,neuraltube,neuraltube | iseebs | neuralos | neuralshell,neuraltube | iseebs | neuralos | neuralshell,True,0.95,"matched canonical project aliases: neuraltube, iseebs, neuralos, neuralshell","Gumroad Product Page classified as neuraltube (project work). Reason: matched canonical project aliases: neuraltube, iseebs, neuralos, neuralshell."
69c1ff37-9fc0-83e8-b940-c428976addfd,Logo and Design Creation,2026-03-23 20:05:15,2026-03-23 21:21:44,2026-03,34,neuralos,neuralos | neuraltube | obey_neurodomverse | scamazon | snoozurp | hypersnatch | mind_unset | neuralbook | neuralshell,neuralos | neuraltube | obey_neurodomverse | scamazon | snoozurp | hypersnatch | mind_unset | neuralbook | neuralshell,True,0.95,"matched canonical project aliases: neuralos, neuraltube, obey_neurodomverse, scamazon, snoozurp","Logo and Design Creation classified as neuralos (project work). Reason: matched canonical project aliases: neuralos, neuraltube, obey_neurodomverse, scamazon, snoozurp."
69bcd271-faf8-83e8-a568-686ec6b6a555,Evidence Pack Analysis,2026-03-19 21:52:10,2026-03-23 14:25:17,2026-03,801,neuralshell,neuralshell | neuraltube | iseebs | neuralos | hypersnatch | obey_neurodomverse,neuralshell | neuraltube | iseebs | neuralos | hypersnatch | obey_neurodomverse,True,0.95,"matched canonical project aliases: neuralshell, neuraltube, iseebs, neuralos, hypersnatch","Evidence Pack Analysis classified as neuralshell (project work). Reason: matched canonical project aliases: neuralshell, neuraltube, iseebs, neuralos, hypersnatch."
69c04fe4-2888-83e8-a919-6d2d64c5efd8,MindUnset Project Status,2026-03-22 13:24:06,2026-03-22 16:11:19,2026-03,55,neuraltube,neuraltube | mind_unset | neuralbook | neuralos,neuraltube | mind_unset | neuralbook | neuralos,True,0.95,"matched canonical project aliases: neuraltube, mind_unset, neuralbook, neuralos","MindUnset Project Status classified as neuraltube (project work). Reason: matched canonical project aliases: neuraltube, mind_unset, neuralbook, neuralos."
69bf6569-3ec4-83e8-a124-bb60d79d76fa,v1.5.9 Audit Decision,2026-03-21 20:43:39,2026-03-21 23:43:30,2026-03,96,hypersnatch,hypersnatch | neuraltube | iseebs | mind_unset | neuralos | neuralshell,hypersnatch | neuraltube | iseebs | mind_unset | neuralos | neuralshell,True,0.95,"matched canonical project aliases: hypersnatch, neuraltube, iseebs, mind_unset, neuralos","v1.5.9 Audit Decision classified as hypersnatch (project work). Reason: matched canonical project aliases: hypersnatch, neuraltube, iseebs, mind_unset, neuralos."
69bc2eff-c228-83e8-9098-8572d4f55bf8,Repo Cleanup Strategy,2026-03-19 10:14:43,2026-03-21 20:39:45,2026-03,433,neuraltube,neuraltube | neuralshell | hypersnatch | neuralos | iseebs,neuraltube | neuralshell | hypersnatch | neuralos | iseebs,True,0.95,"matched canonical project aliases: neuraltube, neuralshell, hypersnatch, neuralos, iseebs","Repo Cleanup Strategy classified as neuraltube (project work). Reason: matched canonical project aliases: neuraltube, neuralshell, hypersnatch, neuralos, iseebs."
69bb0fcc-7160-8332-b8e3-7a4fe3110c0e,Phase 9 Wave 2 Walkthrough,2026-03-18 13:49:19,2026-03-19 21:45:45,2026-03,503,neuralshell,neuralshell | neuraltube | hypersnatch | iseebs | neuralos | obey_neurodomverse,neuralshell | neuraltube | hypersnatch | iseebs | neuralos | obey_neurodomverse,True,0.95,"matched canonical project aliases: neuralshell, neuraltube, hypersnatch, iseebs, neuralos","Phase 9 Wave 2 Walkthrough classified as neuralshell (project work). Reason: matched canonical project aliases: neuralshell, neuraltube, hypersnatch, iseebs, neuralos."
69b9a1ea-b358-8329-ba5f-284a5e5d98f5,NeuralShell MVP Phase 5 Review,2026-03-17 11:49:40,2026-03-18 13:45:43,2026-03,566,neuraltube,neuraltube | neuralos | neuralshell | iseebs,neuraltube | neuralos | neuralshell | iseebs,True,0.95,"matched canonical project aliases: neuraltube, neuralos, neuralshell, iseebs","NeuralShell MVP Phase 5 Review classified as neuraltube (project work). Reason: matched canonical project aliases: neuraltube, neuralos, neuralshell, iseebs."
