conversation_id,title,create_time,update_time,month_bucket,message_count,primary_project,project_names_raw,project_names_canonical,is_real_project_work,confidence_0_1,classification_reason,summary
6926298e-2c00-8328-8cd0-9505fba189df,Tool limitation explanation,2025-11-25 14:11:33,2025-11-25 14:18:47,2025-11,8,neuralos,neuralos | neuralshell,neuralos | neuralshell,True,0.7,"matched canonical project aliases: neuralos, neuralshell","Tool limitation explanation classified as neuralos (project work). Reason: matched canonical project aliases: neuralos, neuralshell."
68c08182-b0c0-832e-87df-35728093c5a2,NeuralTube build setup,2025-09-09 12:35:31,2025-11-17 16:22:02,2025-11,1056,neuraltube,neuraltube | neuralos | hypersnatch | obey_neurodomverse | scamazon | neuralshell | mind_unset | iseebs | neuralbook | snoozurp,neuraltube | neuralos | hypersnatch | obey_neurodomverse | scamazon | neuralshell | mind_unset | iseebs | neuralbook | snoozurp,True,0.95,"matched canonical project aliases: neuraltube, neuralos, hypersnatch, obey_neurodomverse, scamazon","NeuralTube build setup classified as neuraltube (project work). Reason: matched canonical project aliases: neuraltube, neuralos, hypersnatch, obey_neurodomverse, scamazon."
6915526c-d81c-832b-8aab-441597f51b44,Project progress update,2025-11-12 19:37:17,2025-11-12 19:39:24,2025-11,4,hypersnatch,hypersnatch | neuralos | neuraltube | scamazon | mind_unset | neuralbook | neuralshell | obey_neurodomverse,hypersnatch | neuralos | neuraltube | scamazon | mind_unset | neuralbook | neuralshell | obey_neurodomverse,True,0.95,"matched canonical project aliases: hypersnatch, neuralos, neuraltube, scamazon, mind_unset","Project progress update classified as hypersnatch (project work). Reason: matched canonical project aliases: hypersnatch, neuralos, neuraltube, scamazon, mind_unset."
690ed8eb-54d0-8327-a004-18243c513267,NeuralEmpire project resume,2025-11-07 21:45:18,2025-11-12 19:04:29,2025-11,36,neuralos,neuralos | obey_neurodomverse | hypersnatch | neuraltube | scamazon | mind_unset | neuralbook | neuralshell,neuralos | obey_neurodomverse | hypersnatch | neuraltube | scamazon | mind_unset | neuralbook | neuralshell,True,0.95,"matched canonical project aliases: neuralos, obey_neurodomverse, hypersnatch, neuraltube, scamazon","NeuralEmpire project resume classified as neuralos (project work). Reason: matched canonical project aliases: neuralos, obey_neurodomverse, hypersnatch, neuraltube, scamazon."
68b7d919-96a8-8329-b06d-e8239cd1175e,QR Auth Security Tools,2025-09-02 22:58:50,2025-11-10 18:09:49,2025-11,69,hypersnatch,hypersnatch | mind_unset | neuralbook | neuralos | neuralshell | neuraltube | obey_neurodomverse | scamazon,hypersnatch | mind_unset | neuralbook | neuralos | neuralshell | neuraltube | obey_neurodomverse | scamazon,True,0.95,"matched canonical project aliases: hypersnatch, mind_unset, neuralbook, neuralos, neuralshell","QR Auth Security Tools classified as hypersnatch (project work). Reason: matched canonical project aliases: hypersnatch, mind_unset, neuralbook, neuralos, neuralshell."
68b1256e-bfac-8321-92de-c0560c658a3f,NeuroInbox integration plan,2025-08-28 20:58:39,2025-11-10 18:07:13,2025-11,157,obey_neurodomverse,obey_neurodomverse | scamazon | iseebs | mind_unset | neuralos | neuraltube | neuralbook | snoozurp,obey_neurodomverse | scamazon | iseebs | mind_unset | neuralos | neuraltube | neuralbook | snoozurp,True,0.95,"matched canonical project aliases: obey_neurodomverse, scamazon, iseebs, mind_unset, neuralos","NeuroInbox integration plan classified as obey_neurodomverse (project work). Reason: matched canonical project aliases: obey_neurodomverse, scamazon, iseebs, mind_unset, neuralos."
68be3082-0fb4-8331-acc2-5ff57b255e4f,NeuralInput project summary,2025-09-07 18:25:22,2025-11-10 17:38:52,2025-11,55,neuralos,neuralos | scamazon | mind_unset | neuralbook | neuralshell | neuraltube | obey_neurodomverse,neuralos | scamazon | mind_unset | neuralbook | neuralshell | neuraltube | obey_neurodomverse,True,0.95,"matched canonical project aliases: neuralos, scamazon, mind_unset, neuralbook, neuralshell","NeuralInput project summary classified as neuralos (project work). Reason: matched canonical project aliases: neuralos, scamazon, mind_unset, neuralbook, neuralshell."
68b7bae1-9540-8327-9189-4c1029966d55,User input clarification,2025-09-02 20:49:54,2025-11-10 16:28:04,2025-11,76,obey_neurodomverse,obey_neurodomverse | neuralos | hypersnatch | neuralbook | neuralshell | neuraltube,obey_neurodomverse | neuralos | hypersnatch | neuralbook | neuralshell | neuraltube,True,0.95,"matched canonical project aliases: obey_neurodomverse, neuralos, hypersnatch, neuralbook, neuralshell","User input clarification classified as obey_neurodomverse (project work). Reason: matched canonical project aliases: obey_neurodomverse, neuralos, hypersnatch, neuralbook, neuralshell."
68aa4d7d-c7c4-8323-894d-2baedb901291,NeuralVault™:,2025-08-23 16:23:43,2025-11-10 16:15:55,2025-11,467,obey_neurodomverse,obey_neurodomverse | scamazon | neuralos | mind_unset | neuraltube | snoozurp | iseebs | hypersnatch | neuralbook,obey_neurodomverse | scamazon | neuralos | mind_unset | neuraltube | snoozurp | iseebs | hypersnatch | neuralbook,True,0.95,"matched canonical project aliases: obey_neurodomverse, scamazon, neuralos, mind_unset, neuraltube","NeuralVault™: classified as obey_neurodomverse (project work). Reason: matched canonical project aliases: obey_neurodomverse, scamazon, neuralos, mind_unset, neuraltube."
68a8bcff-cab0-8331-806c-9c8fd1278401,Time MachAIn™,2025-08-22 11:54:58,2025-11-10 15:50:54,2025-11,293,obey_neurodomverse,obey_neurodomverse | scamazon | neuralos | iseebs | neuraltube | hypersnatch | mind_unset | neuralbook | neuralshell | snoozurp,obey_neurodomverse | scamazon | neuralos | iseebs | neuraltube | hypersnatch | mind_unset | neuralbook | neuralshell | snoozurp,True,0.95,"matched canonical project aliases: obey_neurodomverse, scamazon, neuralos, iseebs, neuraltube","Time MachAIn™ classified as obey_neurodomverse (project work). Reason: matched canonical project aliases: obey_neurodomverse, scamazon, neuralos, iseebs, neuraltube."
